Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),Decision
2 ,6,1500,28 ,Yes
2 ,6,1500,28 ,No
4 ,2,500,4 ,No
4 ,2,500,4 ,No
4 ,2,500,4 ,No
2 ,7,1750,35 ,Yes
4 ,2,500,4 ,Yes
4 ,2,500,4 ,No
4 ,2,500,4 ,No
4 ,2,500,4 ,No
12 ,11,2750,23 ,No
4 ,7,1750,28 ,No
3 ,17,4250,86 ,No
4 ,9,2250,38 ,Yes
4 ,4,1000,14 ,Yes
5 ,7,1750,26 ,Yes
4 ,8,2000,34 ,Yes
2 ,13,3250,76 ,Yes
4 ,9,2250,40 ,No
2 ,5,1250,26 ,No
2 ,5,1250,26 ,No
6 ,17,4250,70 ,No
0 ,8,2000,59 ,No
3 ,5,1250,26 ,No
2 ,3,750,14 ,No
2 ,10,2500,64 ,No
4 ,5,1250,23 ,Yes
4 ,9,2250,46 ,No
4 ,5,1250,23 ,No
4 ,8,2000,40 ,Yes
2 ,12,3000,82 ,No
11 ,24,6000,64 ,No
2 ,7,1750,46 ,Yes
4 ,11,2750,61 ,No
1 ,7,1750,57 ,No
2 ,11,2750,79 ,Yes
2 ,3,750,16 ,Yes
4 ,5,1250,26 ,Yes
2 ,6,1500,41 ,Yes
2 ,5,1250,33 ,Yes
2 ,4,1000,26 ,No
2 ,5,1250,34 ,No
4 ,8,2000,46 ,Yes
2 ,4,1000,26 ,No
4 ,8,2000,48 ,Yes
2 ,2,500,10 ,Yes
4 ,5,1250,28 ,No
2 ,12,3000,95 ,No
2 ,2,500,10 ,No
4 ,6,1500,35 ,No
2 ,11,2750,88 ,No
2 ,3,750,19 ,No
2 ,5,1250,37 ,No
2 ,12,3000,98 ,No
9 ,5,1250,19 ,No
2 ,2,500,11 ,No
2 ,9,2250,74 ,No
5 ,14,3500,86 ,No
4 ,3,750,16 ,No
4 ,3,750,16 ,No
4 ,2,500,9 ,Yes
4 ,3,750,16 ,Yes
6 ,3,750,14 ,No
2 ,2,500,11 ,No
2 ,2,500,11 ,Yes
2 ,2,500,11 ,No
2 ,7,1750,58 ,Yes
4 ,6,1500,39 ,No
4 ,11,2750,78 ,No
2 ,1,250,2 ,Yes
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,Yes
2 ,1,250,2 ,Yes
2 ,1,250,2 ,Yes
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
11 ,10,2500,35 ,No
11 ,4,1000,16 ,Yes
4 ,5,1250,33 ,Yes
4 ,6,1500,41 ,Yes
2 ,3,750,22 ,No
4 ,4,1000,26 ,Yes
10 ,4,1000,16 ,No
2 ,4,1000,35 ,No
4 ,12,3000,88 ,No
13 ,8,2000,26 ,No
11 ,9,2250,33 ,No
4 ,5,1250,34 ,No
4 ,4,1000,26 ,No
8 ,15,3750,77 ,No
4 ,5,1250,35 ,Yes
4 ,7,1750,52 ,No
4 ,7,1750,52 ,No
2 ,4,1000,35 ,No
11 ,11,2750,42 ,No
2 ,2,500,14 ,No
2 ,5,1250,47 ,Yes
9 ,8,2000,38 ,Yes
4 ,6,1500,47 ,No
11 ,7,1750,29 ,No
9 ,9,2250,45 ,No
4 ,6,1500,52 ,No
4 ,7,1750,58 ,No
6 ,2,500,11 ,Yes
4 ,7,1750,58 ,No
11 ,9,2250,38 ,No
11 ,6,1500,26 ,No
2 ,2,500,16 ,No
2 ,7,1750,76 ,No
11 ,6,1500,27 ,No
11 ,3,750,14 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
4 ,3,750,24 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
10 ,8,2000,39 ,No
14 ,7,1750,26 ,No
8 ,10,2500,63 ,No
11 ,3,750,15 ,No
4 ,2,500,14 ,No
2 ,4,1000,43 ,No
8 ,9,2250,58 ,No
8 ,8,2000,52 ,Yes
11 ,22,5500,98 ,No
4 ,3,750,25 ,Yes
11 ,17,4250,79 ,Yes
9 ,2,500,11 ,No
4 ,5,1250,46 ,No
11 ,12,3000,58 ,No
7 ,12,3000,86 ,No
11 ,2,500,11 ,No
11 ,2,500,11 ,No
11 ,2,500,11 ,No
2 ,6,1500,75 ,No
11 ,8,2000,41 ,Yes
11 ,3,750,16 ,Yes
12 ,13,3250,59 ,No
2 ,3,750,35 ,No
16 ,8,2000,28 ,No
11 ,7,1750,37 ,No
4 ,3,750,28 ,No
12 ,12,3000,58 ,No
4 ,4,1000,41 ,No
11 ,14,3500,73 ,Yes
2 ,2,500,23 ,No
2 ,3,750,38 ,Yes
4 ,5,1250,58 ,No
4 ,4,1000,43 ,Yes
3 ,2,500,23 ,No
11 ,8,2000,46 ,No
4 ,7,1750,82 ,No
13 ,4,1000,21 ,No
16 ,11,2750,40 ,No
16 ,7,1750,28 ,No
7 ,2,500,16 ,No
4 ,5,1250,58 ,No
4 ,5,1250,58 ,No
4 ,4,1000,46 ,No
14 ,13,3250,57 ,No
4 ,3,750,34 ,No
14 ,18,4500,78 ,No
11 ,8,2000,48 ,No
14 ,16,4000,70 ,No
14 ,4,1000,22 ,Yes
14 ,5,1250,26 ,No
8 ,2,500,16 ,No
11 ,5,1250,33 ,No
11 ,2,500,14 ,No
4 ,2,500,23 ,No
9 ,2,500,16 ,Yes
14 ,5,1250,28 ,Yes
14 ,3,750,19 ,Yes
14 ,4,1000,23 ,Yes
16 ,12,3000,50 ,No
11 ,4,1000,28 ,No
11 ,5,1250,35 ,No
11 ,5,1250,35 ,No
2 ,4,1000,70 ,No
14 ,5,1250,28 ,No
14 ,2,500,14 ,No
14 ,2,500,14 ,No
14 ,2,500,14 ,No
14 ,2,500,14 ,No
14 ,2,500,14 ,No
14 ,2,500,14 ,No
2 ,3,750,52 ,No
14 ,6,1500,34 ,No
11 ,5,1250,37 ,Yes
4 ,5,1250,74 ,No
11 ,3,750,23 ,No
16 ,4,1000,23 ,No
16 ,3,750,19 ,No
11 ,5,1250,38 ,No
11 ,2,500,16 ,No
12 ,9,2250,60 ,No
9 ,1,250,9 ,No
9 ,1,250,9 ,No
4 ,2,500,29 ,No
11 ,2,500,17 ,No
14 ,4,1000,26 ,No
11 ,9,2250,72 ,Yes
11 ,5,1250,41 ,No
15 ,16,4000,82 ,No
9 ,5,1250,51 ,Yes
11 ,4,1000,34 ,No
14 ,8,2000,50 ,Yes
16 ,7,1750,38 ,No
14 ,2,500,16 ,No
2 ,2,500,41 ,No
14 ,16,4000,98 ,No
14 ,4,1000,28 ,Yes
16 ,7,1750,39 ,No
14 ,7,1750,47 ,No
16 ,6,1500,35 ,No
16 ,6,1500,35 ,Yes
11 ,7,1750,62 ,Yes
16 ,2,500,16 ,No
16 ,3,750,21 ,Yes
11 ,3,750,28 ,No
11 ,7,1750,64 ,No
11 ,1,250,11 ,Yes
9 ,3,750,34 ,No
14 ,4,1000,30 ,No
23 ,38,9500,98 ,No
11 ,6,1500,58 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,2,500,21 ,No
11 ,5,1250,50 ,No
11 ,2,500,21 ,No
16 ,4,1000,28 ,No
4 ,2,500,41 ,No
16 ,6,1500,40 ,No
14 ,3,750,26 ,No
9 ,2,500,26 ,No
21 ,16,4000,64 ,No
14 ,6,1500,51 ,No
11 ,2,500,24 ,No
4 ,3,750,71 ,No
21 ,13,3250,57 ,No
11 ,6,1500,71 ,No
14 ,2,500,21 ,Yes
23 ,15,3750,57 ,No
14 ,4,1000,38 ,No
11 ,2,500,26 ,No
16 ,5,1250,40 ,Yes
4 ,2,500,51 ,Yes
14 ,3,750,31 ,No
4 ,2,500,52 ,No
9 ,4,1000,65 ,No
14 ,4,1000,40 ,No
11 ,3,750,40 ,Yes
14 ,5,1250,50 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,7,1750,72 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
9 ,3,750,52 ,No
14 ,7,1750,73 ,No
11 ,4,1000,58 ,No
11 ,4,1000,59 ,No
4 ,2,500,59 ,No
11 ,4,1000,61 ,No
16 ,4,1000,40 ,No
16 ,10,2500,89 ,No
21 ,2,500,21 ,Yes
21 ,3,750,26 ,No
16 ,8,2000,76 ,No
21 ,3,750,26 ,Yes
18 ,2,500,23 ,No
23 ,5,1250,33 ,No
23 ,8,2000,46 ,No
16 ,3,750,34 ,No
14 ,5,1250,64 ,No
14 ,3,750,41 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,4,1000,45 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,2,500,26 ,No
21 ,2,500,23 ,No
16 ,2,500,27 ,No
21 ,2,500,23 ,No
21 ,2,500,23 ,No
14 ,4,1000,57 ,No
16 ,5,1250,60 ,No
23 ,2,500,23 ,No
14 ,5,1250,74 ,No
23 ,3,750,28 ,No
16 ,3,750,40 ,No
9 ,2,500,52 ,No
9 ,2,500,52 ,No
16 ,7,1750,87 ,Yes
14 ,4,1000,64 ,No
14 ,2,500,35 ,No
16 ,7,1750,93 ,No
21 ,2,500,25 ,No
14 ,3,750,52 ,No
23 ,14,3500,93 ,No
18 ,8,2000,95 ,No
16 ,3,750,46 ,No
11 ,3,750,76 ,No
11 ,2,500,52 ,No
11 ,3,750,76 ,No
23 ,12,3000,86 ,No
21 ,3,750,35 ,No
23 ,2,500,26 ,No
23 ,2,500,26 ,No
23 ,8,2000,64 ,No
16 ,3,750,50 ,No
23 ,3,750,33 ,No
21 ,3,750,38 ,No
23 ,2,500,28 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,Yes
21 ,1,250,21 ,No
21 ,1,250,21 ,No
21 ,5,1250,60 ,No
23 ,4,1000,45 ,No
21 ,4,1000,52 ,No
22 ,1,250,22 ,Yes
11 ,2,500,70 ,No
23 ,5,1250,58 ,No
23 ,3,750,40 ,No
23 ,3,750,41 ,No
14 ,3,750,83 ,No
21 ,2,500,35 ,No
26 ,5,1250,49 ,Yes
23 ,6,1500,70 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,4,1000,53 ,No
21 ,6,1500,86 ,No
23 ,3,750,48 ,No
21 ,2,500,41 ,No
21 ,3,750,64 ,No
16 ,2,500,70 ,No
21 ,3,750,70 ,No
23 ,4,1000,87 ,No
23 ,3,750,89 ,No
23 ,2,500,87 ,No
35 ,3,750,64 ,No
38 ,1,250,38 ,No
38 ,1,250,38 ,No
40 ,1,250,40 ,No
74 ,1,250,74 ,No
2 ,43,10750,86 ,Yes
6 ,22,5500,28 ,Yes
2 ,34,8500,77 ,Yes
2 ,44,11000,98 ,No
0 ,26,6500,76 ,Yes
2 ,41,10250,98 ,Yes
3 ,21,5250,42 ,Yes
2 ,11,2750,23 ,No
2 ,21,5250,52 ,Yes
2 ,13,3250,32 ,Yes
4 ,4,1000,4 ,Yes
2 ,11,2750,26 ,No
2 ,11,2750,28 ,No
3 ,14,3500,35 ,No
4 ,16,4000,38 ,Yes
4 ,6,1500,14 ,No
3 ,5,1250,12 ,Yes
4 ,33,8250,98 ,Yes
3 ,10,2500,33 ,Yes
4 ,10,2500,28 ,Yes
2 ,11,2750,40 ,Yes
2 ,11,2750,41 ,Yes
4 ,13,3250,39 ,Yes
1 ,10,2500,43 ,Yes
4 ,9,2250,28 ,No
2 ,4,1000,11 ,No
2 ,5,1250,16 ,Yes
2 ,15,3750,64 ,No
5 ,24,6000,79 ,No
2 ,6,1500,22 ,Yes
4 ,5,1250,16 ,Yes
2 ,4,1000,14 ,Yes
4 ,8,2000,28 ,No
2 ,4,1000,14 ,No
2 ,6,1500,26 ,No
4 ,5,1250,16 ,Yes
2 ,7,1750,32 ,Yes
2 ,6,1500,26 ,Yes
2 ,8,2000,38 ,Yes
2 ,2,500,4 ,Yes
2 ,6,1500,28 ,Yes
2 ,10,2500,52 ,No
4 ,16,4000,70 ,Yes
4 ,2,500,4 ,Yes
1 ,14,3500,95 ,No
4 ,2,500,4 ,Yes
7 ,14,3500,48 ,No
2 ,3,750,11 ,No
2 ,12,3000,70 ,Yes
4 ,7,1750,32 ,Yes
4 ,4,1000,16 ,No
2 ,6,1500,35 ,Yes
4 ,6,1500,28 ,Yes
2 ,3,750,14 ,No
2 ,4,1000,23 ,No
4 ,4,1000,18 ,No
5 ,6,1500,28 ,No
4 ,6,1500,30 ,No
14 ,5,1250,14 ,No
3 ,8,2000,50 ,No
4 ,11,2750,64 ,Yes
4 ,9,2250,52 ,No
4 ,16,4000,98 ,Yes
7 ,10,2500,47 ,No
4 ,14,3500,86 ,No
2 ,9,2250,75 ,No
4 ,6,1500,35 ,No
4 ,9,2250,55 ,No
4 ,6,1500,35 ,Yes
2 ,6,1500,45 ,No
2 ,6,1500,47 ,No
4 ,2,500,9 ,No
2 ,2,500,11 ,Yes
2 ,2,500,11 ,No
2 ,2,500,11 ,Yes
4 ,6,1500,38 ,Yes
3 ,4,1000,29 ,Yes
9 ,9,2250,38 ,No
11 ,5,1250,18 ,No
2 ,3,750,21 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,Yes
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,Yes
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
2 ,1,250,2 ,No
11 ,11,2750,38 ,No
2 ,3,750,22 ,No
9 ,11,2750,49 ,Yes
5 ,11,2750,75 ,No
3 ,5,1250,38 ,No
3 ,1,250,3 ,Yes
4 ,6,1500,43 ,No
2 ,3,750,24 ,No
12 ,11,2750,39 ,No
2 ,2,500,14 ,No
4 ,6,1500,46 ,No
9 ,3,750,14 ,No
14 ,8,2000,26 ,No
4 ,2,500,13 ,No
4 ,11,2750,95 ,No
2 ,7,1750,77 ,No
2 ,7,1750,77 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,No
4 ,1,250,4 ,Yes
4 ,1,250,4 ,No
4 ,7,1750,62 ,No
4 ,1,250,4 ,No
4 ,4,1000,34 ,Yes
11 ,6,1500,28 ,No
13 ,3,750,14 ,Yes
7 ,5,1250,35 ,No
9 ,9,2250,54 ,No
11 ,2,500,11 ,No
2 ,5,1250,63 ,No
7 ,11,2750,89 ,No
8 ,9,2250,64 ,No
2 ,2,500,22 ,No
6 ,3,750,26 ,No
12 ,15,3750,71 ,No
13 ,3,750,16 ,No
11 ,16,4000,89 ,No
4 ,5,1250,58 ,No
14 ,7,1750,35 ,No
11 ,4,1000,27 ,No
7 ,9,2250,89 ,Yes
11 ,8,2000,52 ,Yes
7 ,5,1250,52 ,No
11 ,6,1500,41 ,No
10 ,5,1250,38 ,No
14 ,2,500,14 ,Yes
14 ,2,500,14 ,No
14 ,2,500,14 ,No
2 ,2,500,33 ,No
11 ,3,750,23 ,No
14 ,8,2000,46 ,No
9 ,1,250,9 ,No
16 ,5,1250,27 ,No
14 ,4,1000,26 ,No
4 ,2,500,30 ,No
14 ,3,750,21 ,No
16 ,16,4000,77 ,No
4 ,2,500,31 ,No
14 ,8,2000,50 ,No
11 ,3,750,26 ,No
14 ,7,1750,45 ,No
15 ,5,1250,33 ,No
16 ,2,500,16 ,No
16 ,3,750,21 ,No
11 ,8,2000,72 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,No
11 ,1,250,11 ,Yes
11 ,1,250,11 ,No
2 ,3,750,75 ,Yes
2 ,3,750,77 ,No
16 ,4,1000,28 ,No
16 ,15,3750,87 ,No
16 ,14,3500,83 ,No
16 ,10,2500,62 ,No
16 ,3,750,23 ,No
14 ,3,750,26 ,No
23 ,19,4750,62 ,No
11 ,7,1750,75 ,No
14 ,3,750,28 ,No
20 ,14,3500,69 ,Yes
4 ,2,500,46 ,No
11 ,2,500,25 ,No
11 ,3,750,37 ,No
16 ,4,1000,33 ,No
21 ,7,1750,38 ,No
13 ,7,1750,76 ,No
16 ,6,1500,50 ,No
14 ,3,750,33 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
14 ,1,250,14 ,No
17 ,7,1750,58 ,Yes
14 ,3,750,35 ,No
14 ,3,750,35 ,No
16 ,7,1750,64 ,No
21 ,2,500,21 ,No
16 ,3,750,35 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
16 ,1,250,16 ,No
14 ,2,500,29 ,No
11 ,4,1000,74 ,No
11 ,2,500,38 ,Yes
21 ,6,1500,48 ,No
23 ,2,500,23 ,No
23 ,6,1500,45 ,No
14 ,2,500,35 ,Yes
16 ,6,1500,81 ,No
16 ,4,1000,58 ,No
16 ,5,1250,71 ,No
21 ,2,500,26 ,No
21 ,3,750,35 ,No
21 ,3,750,35 ,No
23 ,8,2000,69 ,No
21 ,3,750,38 ,No
23 ,3,750,35 ,No
21 ,3,750,40 ,No
23 ,2,500,28 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
25 ,6,1500,50 ,No
21 ,1,250,21 ,No
21 ,1,250,21 ,No
23 ,3,750,39 ,No
21 ,2,500,33 ,No
14 ,3,750,79 ,No
23 ,1,250,23 ,Yes
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,1,250,23 ,No
23 ,4,1000,52 ,No
23 ,1,250,23 ,No
23 ,7,1750,88 ,No
16 ,3,750,86 ,No
23 ,2,500,38 ,No
21 ,2,500,52 ,No
23 ,3,750,62 ,No
39 ,1,250,39 ,No
72 ,1,250,72 ,No
